text,label
他克莫司软膏（普特彼） 0.1%*10g 数量：1盒,1
家附近医院心内科先做好,0
出院小结能否拍照给我？,0
呃，有可能的，这个小朋友就这几个最常见的突然会加重的因素，脸上加重的话，这个食物如果身上还好那么脸上突然加重的话食物是第一位可疑的因素，具体是什么也都不好说啊，这个你要自己观察的那么要高呢，肯定是要用的，但是我看现在如果肿的厉害吗，你这个呃药水再给他敷一敷，让它肿退一点才开始擦药膏，不然你肿的太厉害，擦药膏吗，呃，反而会会有点这个影响它散热小肿的情况总退一点才擦药膏。,1
我倾向良性概率大,1
结节性质不能确定，建议右肺穿刺活检明确诊断；如果为肿瘤，做PET/CT评估疾病程度,1
性价比很高啊。,0
没关系的。,0
对的，要巩固,0
好的，不客气,0
谈不上。,0
卵巢功能LH/FSH略高，睾酮不高，主要的治疗方法是减轻体重，控制好体重，内分泌就会改善,1
床位紧张，我们尽量吧,0
也就是说没有一个检查办法能够确诊，药物过敏。,1
你心理负担比较重，那就做一下吧，应该没有什么问题的，做完后把结果给我看一下吧,1
是的。,0
建议阴道塞药，目前治疗HPV感染的药物很多。,1
这个是大头痱子,1
他也是高的啊，那么我觉得这个还是要考虑这个呃，她是一个标志物啊，也就是肿瘤有进展的这个可能性，但是呢，不一定从这个影像学上能够发现得了。,1
中医科医生知道的。,0
面部治疗需要24小时核算报告。,0
可以外院和我院间隔性的进行复查。,1
1.外用夫西地酸软膏，每天两次，点涂在红肿痘痘和脓头的部位。,1
乳腺这个您要到乳腺科就诊，由乳腺医生决定是否手术。,1
皮肤看上去是湿疹的表现，首先还是要控制搔抓，所以没有肝肾功能的问题，口服抗组胺药物比如卢帕他定每天一片是可以的。,1
还是发出来后一直在,0
对的，记住一个月后再查血常规，肝肾功能。,1
和位置有关糸。,0
建议近期内手术切除治疗,1
对的，这个需要一定的外科技巧才能保住肺,0
可以打生长激素，密切随访MRI注意囊肿变化就可以了,1
你好，那个你的检查都没有最近的检查。,0
像是神经来源的肿瘤，建议身体恢复好以后手术,1
然后呢，吃那个呃，肝功能好的话吃首乌片。,1
目前感觉月经量少来咨询。,0
右中叶毛玻璃结节前后比较没变化,1
可以多饮水观察。,1
如一切顺利，后者用一周可暂仃。,1
最近饮食清淡，出门回家清洗面部和鼻腔。,1
今天抽血了吗,0
我看了照片,0
呃，你好尿素纸鹤的微商都是选那个每张图片的第一个啊，那个第一个呃就是列在第一的那个呃款类类型啊，因为的微商，我们是用零点百分之零点零二五的啊，所以也是第一个。,0
是从表面一个个掉下来呀，皮肤上面一个脱落下来，呃，我没听明白，你看明白你说的话就是大型公司，他慢慢就会松下来就不叮在肉上了他就会往下掉。,0
3%硼酸溶液使用方法,0
以上建议仅供参考，有问题请酌情联系我或来面诊。,0
首先需考虑药物因素，所以建议先停停黄体酮。,1
从B超看，恢复的还不错,1
你好 请登录看一下光疗设备 可以咨询客服 如有疑问再联系,0
3建议可以做组织工程移植，属于细胞移植。,1
现在症状如何,0
哎，家长你好，这种情况呢，基本上是要做手术的呃造成的原因呢，主要是就是还是考虑先天性的一个鞘状突未闭造成的。,1
发烧,0
附睾炎治疗最少需要2周时间才能有起色,1
看看片子,0
碘伏消毒 破皮处 每天两次,1
目前症狀同脑內治療過的病灶沒有聯繫。,1
图片看上去是天疱疮，现在的口腔溃疡情况也是天疱疮引起的，口苦的症状是可能和药物有关，不要紧的,1
可以加用阿尔法受体阻滞剂。,1
宫颈III度糜烂等霉菌性阴道炎治愈后建议激光治疗。,1
随访B超，若脑室进行性增宽加重，再复查MRI,1
手术风险不大,1
基本没什么影响，在我这里全部微创，甚至经阴道单孔手术腹部无伤口,1
这个是颅外的，一般问题不大，这个属于五官科或颌面外科的专业范畴，可以看这两个科的医生,1
不需要，就是随访复查。,0
只要没有TCT正常，没有上皮内瘤变就不用担心的。,1
大部分人42天可以基本恢复,1
你做得很好。,0
破损的地方可以使用夫西地酸，我说的复方克霉唑也是有消炎成分的。,1
阴虱现在少见，剃掉阴毛，规律用药，会全愈。,1
足部的皮肤非常难控制，穿鞋本身就是一种刺激诱发因素，尽量足部通风透气，避免潮湿，足部冲洗，避免浸泡，有汗及时冲洗擦干。,1
恶要。,0
他可能就会导致皮肤嘴巴周围的皮肤发红。,1
像这个情况呢，一个是我看了鼻子上这个基本消化去了啊，基本消下去了，然后呢这样子以后呢，这个呃可以再加上其他的配合其他的一些治疗痘痘的药物像什么，那个阿达芙文我不知道你用没用过小孩子用的一个法国进口的药叫达芙文你到网上淘宝上都有卖的自己去搜一下它的成分是过氧苯甲酰，氨可以交替着使用，因为一种药用久了以后会耐药的抗生素之类的，特别是抗生素用久了以后会耐药啊，包括你看他以前用过夫西地酸，后面还有颗粒民宿啊，都使用过的可以过段时间再换一换啊，再调一调。,1
如地屈孕酮或黄体酮。,1
孕周还小，自己114平台预约吧，周四下午,1
心脏应该没什么大毛病,1
温馨提示：特需病房床位费2000元一天，因疫情目前陪护限1位家长，全部费用上海少儿医保不负责报销，其他医保请咨询医保部门,1
片子看不了,0
在复查的时候，同时做抗苗勒氏管激素的检查可以协助明确诊断,1
住院押金1万，费用基本上都是医保报销的,1
可以服用西乐葆或者泰勒宁等止痛药物,1
是的，建议0.03%的他克莫司继续使用。,1
视力多数可以恢复的,1
这个不算肿了，是我留给他的包皮，翻开来清洗呀,1
病情及图片均见悉。,0
欢迎关注好大夫在线，感谢您的信任！,0
你现在转氨酶100多，我不建议你就是就是，如果说不是必要必须要吃的药，可能我都建议你全停掉，嗯，两周以后再复查一下这个转氨酶，嗯，四周过去复查的话有点太长了，如果说转氨酶超过200以上是必需要保肝治疗的你现在100多，你把所有的药就是说如果保胎灵也可以停的话，你可以把现在所有不紧急必须要吃的药先停掉，然后两周以后复查一下肝功看能不能正常，如果说还是不正常，而且越来越高的话是需要保肝治疗的。,1
有问题再联系！,0
哎，正好在那个眼睑的上面一点。,0
因此，目前的主要建议还是做好休养。,1
现在说这个没意义。,0
双侧输尿管下端都有侵犯，前列腺，精囊都有侵犯，而且考虑肝脏有多发转移，应该是肿瘤4.期了，再次手术，我觉得已经没有太大的必要。,1
你好，目前的手术方案，如果要是考虑进一步进行的话，需要先做ECT同位素检查，也就是了解分肾功能，再确定是否做肾脏的摘除。,1
嗯，这个报告看上来的话，一个同性半胱氨酸增高的建议，要吃叶酸，嗯和阿司匹林，最好要吃点活性叶酸和阿司匹林，另外一个的话就是胰岛素抵抗可以要锻炼身体，增加减脂在吃二甲双胍。,1
病灶非常微小，囊肿或微小腺瘤都有可能。,1
根据皮疹情况目前考虑湿疹哦,1
都可以，或2周问问我正式报告，拍好片子告诉我看看,0
汪主任联系了吗？,0
嗯，要看一下你的那个滴剂是什么样子的，你看一下那个说明书，虽然每个药物它，它那个它的用法差不多，但是每个药物还是有些细微的差别的，你看一下这个药品的说明书看一下。,0
一个问题一个问题就当时的病理结果是什么，那么还有你最近的片子是怎么样，最近还在用贝伐单抗或者说用靶向药吗，呃，最近没有什么所以你要先把这个最近的强化的磁共振片子给我，因为前面用了靶向药，除了强化序列还需要给一个福利二序列，那么这两个系列不知道搞不搞得清楚，如果搞不清楚，请当地医生帮忙呢。,0
你电话多少，我让再鼎公司联系你。,0
你现在还哺乳吗？,0
开过月经了吗,0
嗯，做试管没影响的，没关系的，试管前，有的时候把它预存里也要用避孕药的。,1
吃药不影响打疫苗，之所以不打是因为害怕疫苗引起过敏，加重荨麻疹,1
我是医生，不是老师,0
首先没有特效药，如果没有感染的情况下你吃消炎药反而容易引起耐药和真菌感染。,1
2019年，通气功能还行，估计弥散功能或心脏有问题，才会引起胸闷症状。,1
苯扎氯氨的这个溶液，我没有用过那这效果如何，我现在也不知道一般呢，是皮肤粘膜消毒剂呢，呃是可以用的。,1
因为你拍了很久，当然我们也可以适当的照顾你，但是目前因为我这里有800多号病人。,0
脑室大，已经接上外引流了，余医生现在门诊，结束后还会去看,1
嗯，就是做这个检测你要只知道要做这个检测就好了。,0
毛玻璃到了浸润有转移的风险，只是风险的大小和结节的大小以及密度都有关系，结节越小越淡越不可能转移。,1
对其所提出的用药，用量及用法均巴在交流中交书面交代清楚，不在此再重复。,0
这个指标意义不大,0
肌瘤可以长在肌壁间、浆膜下和黏膜下。,1
如果有强烈手术意愿，建议带片就诊。,1
如果一半粘连可以暂时不动，等第二天再淋浴或者小便时自己也有可能脱落。,1
这个囊肿是先天性的，从出生就有了,1
不行 一定要病人到门诊才行,0
报告呢,0
如果到我们医院做，我们会再复查薄层ct评估切除范围。,1
估计要7月底了，目前都满啦,0
结束后吸干水份，患处涂抹药膏（莫匹罗星软膏和艾洛松乳膏等量混合每晚一次外用），半小时后抹保湿霜，适合皮肤敏感状态下使用，保湿霜按需涂抹。,1
感谢信任，祝安,0
可以进一步门诊评估手术加免疫治疗,1
快的话等一周。,0
造影做过的，问他要光盘。,0
最终病理也是微浸润腺癌，不用化疗,1
看图片有可能是日光过敏，光化性皮炎，要问问是不是晒了太阳后出现的。,1
可能性比较低,0
看看肌瘤性质,0
1011年11月份做的一个CT，同时呢，有多发的。,0
呃，这个礼拜啊，明天或者是礼拜四啊，我的门诊都是有的啊，如果你呃，这个造口袋来不及了啊，这两天又要来紧急要配的话，那么你这两天就可以来看门诊那礼拜三是特需门诊，礼拜四是专家门诊呃，如果你现在网上挂不到号的话呢，你可以呃预约其他专家的门诊或者是挂个预约的泌尿肿瘤普通门诊，只要有预约信息，然后呢，带好24小时的核酸检测的检测报告，那么就可以到门诊来啊，找我加个号，然后我给你开一下。,1
但是五个毫米，而且是在血管的上方，建议还是要治疗的。,1
子宫肌瘤是有明显边界清楚的，而腺肌病病灶没有明显边界，内部有可能会有囊腺样回声，所以超声有时候并不能完全明确，但核磁检查是可以确诊的,1
嗯是的,0
或者就用清水洗,1
下周二来做检查，周三手术，当天可出院,1
我不推荐做根治性肾全切，根据本院的技术水平，这个肾是完全可以保留的。,1
东院太贵了,0
检查结果无异常 定期每年按时复查即可,1
足底角质增生处涂硫水杨酸软膏 早晚一次 晚上涂好可以用保鲜膜封包过夜；,1
平时药物是怎么使用的？,0
这只是其中一个,0
这个肿瘤本身是手术的疾病，就是手术时机你和家里商定。,0
你如果不会拍你就不用拍了，我想当地医生也跟你讲过我刚才已经跟你说过就是海南热血管瘤比较小的，有些是不用处理的，它是良性的，他，即便出血他出血的风险，也没有动静脉畸形跟动脉瘤厉害，所以没有必要过于担心，只要没有癫痫发作，那你这个部位的策略下面，因为我看不到片子，我想当地医生也跟你讲过，可能暂时不需要做手术比较小，才一个厘米不到。,1
有可能的，你可以给他补充一点锌，补充一.b族维生素，生长因子的话，新生长因子的话，每天喷三次，每次喷两下就可以了。,1
皮疹都在左面，这个情况比较特别，建议你来门诊看看。,1
不会有后遗症的，不加重就不用做ct,1
更像生殖细胞瘤，因为松果体还有一个,1
就是因为很多人收不进来，我们现在都搞到+32了。,0
可来我这里手术。,0
最近一次复查什么时候？,0
有条件可以光子祛痘印更好,1
手术前需要重新做薄层,1
塞药前阴道用苏打粉5g加小半盆温开水稀释后坐浴每天一次每次15分钟。,1
你们的孩子十有八九不像，定型枕大概率会有效，这样的话，就可以避免CT辐射了。,1
