text,label,clean_text,embeddings
他克莫司软膏（普特彼） 0.1%*10g 数量：1盒,1,他克莫司软膏普特彼0110g数量1盒,"[-0.09918186 -1.1277616  -0.98428404 ...  0.46598965 -0.5113698
 -0.36327013]"
家附近医院心内科先做好,0,家附近医院心内科先做好,"[-1.4207051  -1.1746099   0.26470053 ...  0.46226588 -0.5062313
 -0.06419511]"
出院小结能否拍照给我？,0,出院小结能否拍照给我,"[-0.52355343 -0.96749634 -0.20458244 ... -0.07747319 -0.50507456
 -0.16269052]"
呃，有可能的，这个小朋友就这几个最常见的突然会加重的因素，脸上加重的话，这个食物如果身上还好那么脸上突然加重的话食物是第一位可疑的因素，具体是什么也都不好说啊，这个你要自己观察的那么要高呢，肯定是要用的，但是我看现在如果肿的厉害吗，你这个呃药水再给他敷一敷，让它肿退一点才开始擦药膏，不然你肿的太厉害，擦药膏吗，呃，反而会会有点这个影响它散热小肿的情况总退一点才擦药膏。,1,呃有可能的这个小朋友就这几个最常见的突然会加重的因素脸上加重的话这个食物如果身上还好那么脸上突然加重的话食物是第一位可疑的因素具体是什么也都不好说啊这个你要自己观察的那么要高呢肯定是要用的但是我看现在如果肿的厉害吗你这个呃药水再给他敷一敷让它肿退一点才开始擦药膏不然你肿的太厉害擦药膏吗呃反而会会有点这个影响它散热小肿的情况总退一点才擦药膏,"[-0.02986816  0.02690251 -0.80432284 ...  0.6268264  -0.77267224
 -0.393546  ]"
我倾向良性概率大,1,我倾向良性概率大,"[-1.4161913  -0.14997435 -0.541139   ...  0.43730602 -0.70104325
  0.3626459 ]"
结节性质不能确定，建议右肺穿刺活检明确诊断；如果为肿瘤，做PET/CT评估疾病程度,1,结节性质不能确定建议右肺穿刺活检明确诊断如果为肿瘤做PETCT评估疾病程度,"[-1.0413795  -0.66310954  0.14560078 ...  0.33254492 -0.28421932
  0.449914  ]"
性价比很高啊。,0,性价比很高啊,"[-1.1063848  -0.9463874   0.03506076 ...  0.03224041 -0.13978642
 -0.325755  ]"
没关系的。,0,没关系的,"[-0.7566406  -1.3819497  -1.118149   ...  0.77375656 -0.91465336
 -0.63282824]"
对的，要巩固,0,对的要巩固,"[-0.6767457  -1.7042383  -0.79112196 ...  0.50809824 -0.461758
 -0.33149624]"
好的，不客气,0,好的不客气,"[-0.56192386 -1.1051131  -0.94136465 ...  0.64977014 -0.5302926
 -0.30317894]"
谈不上。,0,谈不上,"[-0.9437232  -1.3897011  -1.2979643  ...  0.80456424 -0.94376457
  0.20834076]"
卵巢功能LH/FSH略高，睾酮不高，主要的治疗方法是减轻体重，控制好体重，内分泌就会改善,1,卵巢功能LHFSH略高睾酮不高主要的治疗方法是减轻体重控制好体重内分泌就会改善,"[-1.0367255  -1.4062396  -0.2111257  ... -0.04361735 -0.00710496
  0.2589509 ]"
